Comment ID,Channel ID,Comment Create Timestamp,Price,Video ID,Comment Text
UgytTAzgkxVAhjIZOFF4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2010-12-18T02:26:57+00:00,0,ZlrTJZG-Upw,"{""text"":""found the song... star 69 - thomas gold 2009 remix""}"
UgyGKad7Ihy99sb0Za14AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2010-12-15T21:15:39+00:00,0,ZlrTJZG-Upw,"{""text"":""what remix is this? anyone know? :O""}"
UgzP8j9Hwhl-Ck39qMF4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2010-12-03T22:14:01+00:00,0,q2ulxT4UBfg,"{""text"":""@superxmike they run 40 its just that they have the hard plastic sleeves, make it look bigger. I think... haha""}"
UgxZA6lLckuXIj-rrLh4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2010-10-31T01:58:00+00:00,0,vFBCS7nLbkA,"{""text"":""@TheFantasticMrJake  because in the tournament format pot of greed is banned, and gale is at 1 ""}"
UgwZh5lIJWZOe7at2zl4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2010-09-30T01:55:05+00:00,0,vy9wOIH_3qM,"{""text"":""I thought turtle quit going to raves??? :O and does anyone know what mix this is?""}"
UgxzlrRnM4hCKhVgmW94AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2010-08-24T23:12:25+00:00,0,me7eyzhpGbo,"{""text"":""I have a question, what happened to wall-e's vid?? I wanted to know the song on it ):""}"
Ugxgj5UN2Atu8RsmY5p4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2010-07-14T00:40:24+00:00,0,JcoA89r63I0,"{""text"":""exactly 2 bandwagoners disliked this video.""}"
UgycK-_MfRyTeynaZ7J4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2010-06-25T18:43:31+00:00,0,_gaifSJQp7Y,"{""text"":""Real nice show. Can you tell us your setup??""}"
UgwqmWKHU5MFKtw1P4V4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2010-06-24T22:44:33+00:00,0,QrB_0h1IuNQ,"{""text"":""@ragingemo1 we listen to trance, electro, progressive, and stuff that arent rock dawg. sorry =/ LOL JK.""}"
UgyBwSfM7rXmytepH2t4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2010-06-23T21:41:28+00:00,0,QrB_0h1IuNQ,"{""text"":""Rep lightzombies now!??! :O""}"
Ugx61OmBZ6wz1EnYw4F4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2010-06-22T23:59:57+00:00,0,KXf0pc7XwEs,"{""text"":""WTF RICK CAME OUTTA NOWHERE AT THE END""}"
UgzqULNV6eo6Vq7Ki5B4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2010-06-22T23:18:39+00:00,0,SM-_23mweT0,"{""text"":""PS: Can someone also tell me whats turtle's setup?""}"
UgwEcA5RYw_XWWCmdwt4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2010-06-22T21:10:35+00:00,0,SM-_23mweT0,"{""text"":""SO WHO GOT THIS LIGHTSHOW ?!!??! dying to know.""}"
UgyEt6QIFX_qtJ9UDhx4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2010-06-22T21:09:01+00:00,0,SM-_23mweT0,"{""text"":""SO WHO GOT THIS LIGHTSHOW ?!!??! dying to know.""}"
Ugx0w_7VTDoqmc3Ci9R4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2010-06-22T18:54:08+00:00,0,SM-_23mweT0,"{""text"":""@KiDG0TS0LE oh so I;m guessing your este. Thanks for telling me the setup.""}"
Ugxov7yA8ppQXok4mzB4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2010-06-22T17:31:27+00:00,0,SM-_23mweT0,"{""text"":""awesome show! and I think este and klam are incoming members? Whats cupcakes setup? :O""}"
Ugwnj7RnAvQQjTiZbrB4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2010-06-21T17:11:33+00:00,0,lLYHbtcKlxk,"{""text"":""I would have to say... that 1:07 - 1:09 was freakin trippy as hell. Great stuff man, keep doin what you do.""}"
Ugz4VNbsTL4_5cvu18h4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2010-06-21T16:49:27+00:00,0,IX7b01GAgz8,"{""text"":""WHERE HAS THIS GUY BEEN?!""}"
UgzuCetwjX8IWsr6xop4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2010-06-11T20:47:46+00:00,0,nx33Uc7-u1c,"{""text"":""I've asked this so many times fran! Why do you say golden swoosh like that?? :O""}"
UgzfEHI5r6aljhhrBuR4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2010-06-11T04:09:19+00:00,0,OXhh9Qf4CF4,"{""text"":""is thi an all ravn set??? or bog  \u003e_____\u003e""}"
UgybMqVw-fK8iOsBAXx4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2010-06-07T02:03:41+00:00,0,zDs68m5QQhQ,"{""text"":""Real or fun box? haha they both look mad. ""}"
UgyXNIlvE_OxhG_zS7x4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2010-06-05T01:50:35+00:00,0,5A9vHyBb1l8,"{""text"":""does anyone know the song id? If you do can you tell me please?""}"
Ugy1v1r5pW-hVa1tgId4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2010-06-02T21:53:23+00:00,0,5l9pAoHhqpo,"{""text"":""do you know skittles palms? cause man those things are sick,""}"
UgzaIGdUGi2mIjwIWHt4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2010-06-01T03:57:12+00:00,0,3c676_9bFfI,"{""text"":""DUDE whats in your palms??? you have like 3 diff lights? or is it just the inverted thumbs with palm lights.""}"
UgyBPbGZ4r5b-_hq6rJ4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2010-05-31T02:06:03+00:00,0,oPfC1jzLuVQ,"{""text"":""@ashlettefauxx  thanks!""}"
UgzxqftSnj_KInS_-xR4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2010-05-29T01:15:54+00:00,0,oPfC1jzLuVQ,"{""text"":""anyone know the song name?""}"
UgxQ0Dcme9gQxF2MtIh4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2010-05-19T22:09:41+00:00,0,0TnBLpTo69g,"{""text"":""Damn, you got nice flow. What are the color of your lights? RYW strobes?""}"
UgyeIU9u_b6E7ON_5uZ4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2010-05-06T23:38:31+00:00,0,IlCw1El3oRg,"{""text"":""Nice bottle of Remy you got there fran (:""}"
Ugx2QEqNfsc3__S4-ht4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2010-05-05T21:31:07+00:00,0,w2JpO-aRpVA,"{""text"":""How do you turn em on and off even when your ligths are on top of your fingers? thats pretty dope.""}"
UgwMAL1jpDg_AJabv5d4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2010-05-05T21:20:43+00:00,0,IlCw1El3oRg,"{""text"":""Nice bottle of Remy you got there Fran.""}"
UgyAcW7EW1WosSR_oeJ4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2010-05-03T01:48:20+00:00,0,w2JpO-aRpVA,"{""text"":""are those the new BW bulbs i see? (:""}"
UgzpNq9Uku5GhvtL8gt4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2010-04-13T21:22:41+00:00,0,gha6vYSxVEM,"{""text"":""Just noticed, you got a new camera. Nice quality. Keep doin what you do \n\n - Kevin""}"
Ugysco2gbZbhlH5oQ-x4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2010-04-01T03:17:41+00:00,0,X_n1HQiy-rY,"{""text"":""dude, are you using glow gloves?""}"
Ugx02n4inUXgjDRz-iN4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2010-03-31T03:36:32+00:00,0,lg0zpfXXYBc,"{""text"":""Someone tell me what lights are those cause damn those bulbs are big.""}"
UgwRPfxI-GwYFJvCzg54AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2010-03-23T22:44:32+00:00,0,vyTh7woeeNY,"{""text"":""craziest OG raving ever.""}"
Ugw2l4BbOd8ZgD7MSpB4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2010-03-23T21:31:52+00:00,0, -EP5GzUGb9o,"{""text"":""dude he-he whats your setup in this vid??""}"
UgxL8e48JetDWmyTNGl4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2010-03-23T02:07:05+00:00,0,QrB_0h1IuNQ,"{""text"":""haha.. i got this song on my phone. you guys are way too late (:""}"
UgwuKrIpK-sx0PmHPJN4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2010-03-19T21:34:54+00:00,0,zwftT-g3pZM,"{""text"":""jabbawockee at blue strobe""}"
