Comment ID,Channel ID,Comment Create Timestamp,Price,Parent Comment ID,Post ID,Video ID,Comment Text,Top-Level Comment ID
Ugx67seW-6v0hTKY0N94AaABAg.98LFcK0gf-X98NtglV3cSd,UCbClSOItOom1IT8ZLKnZYEA,2020-05-08T03:46:57.180723+00:00,0,Ugx67seW-6v0hTKY0N94AaABAg,,vStFQUuYcsY,"{""text"":""Always on the hunt""}",Ugx67seW-6v0hTKY0N94AaABAg
UgwfaUNf0aTAKewFjOp4AaABAg.98KYDTS3TDY98NtdyCBu2O,UCbClSOItOom1IT8ZLKnZYEA,2020-05-08T03:46:34.240176+00:00,0,UgwfaUNf0aTAKewFjOp4AaABAg,,RBvdaw5KiYA,"{""text"":""Chopsticks with everything!!""}",UgwfaUNf0aTAKewFjOp4AaABAg
Ugxw7C6WLmtRFbeacad4AaABAg.98LFSGogWn798Ntb2sB-0A,UCbClSOItOom1IT8ZLKnZYEA,2020-05-08T03:46:10.405507+00:00,0,Ugxw7C6WLmtRFbeacad4AaABAg,,ZFAZ5a8zLCs,"{""text"":""kitty is the only person that eats with me!""}",Ugxw7C6WLmtRFbeacad4AaABAg
UgxVkG7PVCr1fwKNfQd4AaABAg.98-ORLuT_q198LUMlvU5xQ,UCbClSOItOom1IT8ZLKnZYEA,2020-05-07T05:18:24.8711+00:00,0,UgxVkG7PVCr1fwKNfQd4AaABAg,,SOnAnCvj8to,"{""text"":""Phat beats""}",UgxVkG7PVCr1fwKNfQd4AaABAg
Ugw_N6j2n8Mjjn4U6iV4AaABAg.98GHmGjLpLW98HOd4iKjsc,UCbClSOItOom1IT8ZLKnZYEA,2020-05-05T15:11:23.194445+00:00,0,Ugw_N6j2n8Mjjn4U6iV4AaABAg,,MJxdISyJ52w,"{""text"":""Don’t knock it till you try it!!""}",Ugw_N6j2n8Mjjn4U6iV4AaABAg
UgwfJ05hhQ-hY1zWz3V4AaABAg.98DjaJQoUxu98Eas_hD9A0,UCbClSOItOom1IT8ZLKnZYEA,2020-05-04T13:09:22.65344+00:00,0,UgwfJ05hhQ-hY1zWz3V4AaABAg,,ZWH35_kDiGY,"{""text"":""I was actually thinking about this one a lot lol""}",UgwfJ05hhQ-hY1zWz3V4AaABAg
UgyjkeWxvEJKQxbvIOh4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2020-05-04T05:06:06.513492+00:00,0,,,ZWH35_kDiGY,"{""text"":""Answer here people!! ""},{""text"":""\n""},{""text"":""http://www.polljunkie.com/poll/ypqean/100-sub-special"",""link"":{""linkUrl"":""http://www.polljunkie.com/poll/ypqean/100-sub-special""}}",
Ugx9_kLrNMkknJdtqd94AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2020-05-04T01:36:49.550596+00:00,0,,,N0ww510OVsY,"{""text"":""Lil wiz khalifa""}",
UgyQvpILhoC1FRGlejN4AaABAg.985oQAJfPr098B8KJ0yyEh,UCbClSOItOom1IT8ZLKnZYEA,2020-05-03T04:53:26.020783+00:00,0,UgyQvpILhoC1FRGlejN4AaABAg,,4FHrrUhuLPI,"{""text"":""Quoc Nguyen hola""}",UgyQvpILhoC1FRGlejN4AaABAg
Ugyzv4y0Z-_SfCCvcgp4AaABAg,UCbClSOItOom1IT8ZLKnZYEA,2020-05-02T19:54:45.539308+00:00,0,,,KjYCh2an8fc,"{""text"":""Lyrics:""},{""text"":""\n""},{""text"":""\n""},{""text"":""Intro:""},{""text"":""\n""},{""text"":""Aye you know what's crazy?""},{""text"":""\n""},{""text"":""When a bitch die, like you ain't ever gonna see them again""},{""text"":""\n""},{""text"":""\n""},{""text"":""\n""},{""text"":""(Chorus 2x)""},{""text"":""\n""},{""text"":""Don't need time cause time waiting on nobody""},{""text"":""\n""},{""text"":""3.5 I'm rolling to get my lungs right""},{""text"":""\n""},{""text"":""It seem like the gun fight the fun life""},{""text"":""\n""},{""text"":""Ain't no love light, all these bitches wanna fuck right""},{""text"":""\n""},{""text"":""\n""},{""text"":""(Verse)""},{""text"":""\n""},{""text"":""I'm a Z, brah, thought real niggas never die""},{""text"":""\n""},{""text"":""Gotta sleep tight, cause people ain't waking up now""},{""text"":""\n""},{""text"":""I knew my nigga made it to heaven I know it""},{""text"":""\n""},{""text"":""Wish I could call the phone and tell him how its going""},{""text"":""\n""},{""text"":""And this glock look good with every outfit""},{""text"":""\n""},{""text"":""I wanna put my nigga on but he ain't out yet""},{""text"":""\n""},{""text"":""I got em feenin for a song I just dropped last year (aye)""},{""text"":""\n""},{""text"":""\n""},{""text"":""When it's dark clouds you just gotta let it (rain)""},{""text"":""\n""},{""text"":""Gotta let it rain, let a nigga run up on me I'ma let it rain""},{""text"":""\n""},{""text"":""\n""},{""text"":""Before I love one of these hoes, I'ma love the bank""},{""text"":""\n""},{""text"":""Ain't lovin on no lady, double 0 lil baby, gang shit""},{""text"":""\n""},{""text"":""MmMmm, Runnin with a K yeh""},{""text"":""\n""},{""text"":""MmMmm, Runnin from the jakes yeh""},{""text"":""\n""},{""text"":""MmMmm, Cause they tryna catch a case yeh MmMmm""},{""text"":""\n""},{""text"":""\n""},{""text"":""\n""},{""text"":""(outro)""},{""text"":""\n""},{""text"":""Long Live my Z man, rest up a mofuckin soldier man""},{""text"":""\n""},{""text"":""Paper chasin hatian I'm tellin you, this shit real""},{""text"":""\n""},{""text"":""Double 0 baby, ain't lovin on no lady, none of that, you feel me?""},{""text"":""\n""},{""text"":""CUT THE FAN OFF""},{""text"":""\n""},{""text"":""\n""},{""text"":""\n""},{""text"":""(Chorus)\r""},{""text"":""\n""},{""text"":""Don't need time cause time waiting on nobody\r""},{""text"":""\n""},{""text"":""3.5 I'm rolling to get my lungs right\r""},{""text"":""\n""},{""text"":""It seem like the gun fight the fun life\r""},{""text"":""\n""},{""text"":""Ain't no love light, all these bitches wanna fuck right""},{""text"":""\n""},{""text"":""MmMmm, Runnin with a K yeh\r""},{""text"":""\n""},{""text"":""MmMmm, Runnin from the jakes yeh\r""},{""text"":""\n""},{""text"":""MmMmm, Cause they tryna catch a case yeh MmMmm""}",
