Comment ID,Channel ID,Comment Create Timestamp,Price,Parent Comment ID,Video ID,Comment Text,Top-Level Comment ID
UggwGx24c48JEHgCoAEC,UCbClSOItOom1IT8ZLKnZYEA,2016-11-10T07:28:22.519+00:00,0,,rdEX0wjB5sQ,"{""text"":""I've thought to do this, but never had the balls... LEGIT!!""}",
UgiakI15x0bIQHgCoAEC,UCbClSOItOom1IT8ZLKnZYEA,2016-11-10T06:56:33.674+00:00,0,,Gk1ULhZw0UI,"{""text"":""probably one of the dopest intro's ive seen on youtube""}",
Uggxr9pHFLN0kngCoAEC,UCbClSOItOom1IT8ZLKnZYEA,2016-11-09T07:26:09.613+00:00,0,,0zekaHeTlpk,"{""text"":""Rico reckless been relevant but got more bUZZ RECEntly when he recorded his goons jumping lil flip. lil flip and his gang made a response after that talkin shit to Rico and eWol ( people who jumped him) and one of flips big homies was saying he gonna kill Rico and eWol. Two weeks later flips homie was found dead""}",
UgiM6QGljriJv3gCoAEC.83vIHyQzNn48Kz_-lCDcyy,UCbClSOItOom1IT8ZLKnZYEA,2016-11-07T17:04:04.151441+00:00,0,UgiM6QGljriJv3gCoAEC,F3JpRWULh_w,"{""text"":""I do too""}",UgiM6QGljriJv3gCoAEC
UgilsmMyLD3RQXgCoAEC.8KdchXKlCD08KhWn0H-npr,UCbClSOItOom1IT8ZLKnZYEA,2016-10-31T16:49:38.514288+00:00,0,UgilsmMyLD3RQXgCoAEC,NUNa4GIu7Oc,"{""text"":""Emily Nelson only weekend night dinners!""}",UgilsmMyLD3RQXgCoAEC
UgjiIqX5CZ9xiHgCoAEC.8KcSWjvPf1u8KeHkDJYLi_,UCbClSOItOom1IT8ZLKnZYEA,2016-10-30T10:40:28.125205+00:00,0,UgjiIqX5CZ9xiHgCoAEC,NUNa4GIu7Oc,"{""text"":""DpProductions nah their dinner might be more expensive but that is when they bust out the good looking brisket and premium steak""}",UgjiIqX5CZ9xiHgCoAEC
UgjyEQZAQKw16XgCoAEC,UCbClSOItOom1IT8ZLKnZYEA,2016-10-26T08:09:09.724+00:00,0,,A79sfETITLw,"{""text"":""that dude wanted to win so bad. good player""}",
UgiLRPv6KVW_V3gCoAEC,UCbClSOItOom1IT8ZLKnZYEA,2016-10-17T23:57:00.034+00:00,0,,05F0yMEOkM4,"{""text"":""give me dat rp before i call the clowns""}",
UghS1ZQ3LwnLxXgCoAEC.8Ju33DKVy968JuzvpbdLXc,UCbClSOItOom1IT8ZLKnZYEA,2016-10-12T01:51:43.436+00:00,0,UghS1ZQ3LwnLxXgCoAEC.8Ju33DKVy968Ju61X6kNBn,h39NQ29YFVw,"{""text"":""UNFORGIVEN man you guys have a lot of money in Vietnam to play this game ;)""}",UghS1ZQ3LwnLxXgCoAEC
UghS1ZQ3LwnLxXgCoAEC,UCbClSOItOom1IT8ZLKnZYEA,2016-10-11T17:08:35.014+00:00,0,,h39NQ29YFVw,"{""text"":""So VIetnam is TCG?""}",
UghFCfCfnvAwUHgCoAEC,UCbClSOItOom1IT8ZLKnZYEA,2016-10-07T19:21:49.93+00:00,0,,R1aODWpVk8s,"{""text"":""missing one card in extra only count 14?""}",
UggaIedTv7C7d3gCoAEC,UCbClSOItOom1IT8ZLKnZYEA,2016-09-24T10:58:14.155+00:00,0,,axOe4Werra8,"{""text"":""Vid ends at ""},{""text"":""4:20"",""videoLink"":{""externalVideoId"":""axOe4Werra8"",""startTimeSeconds"":260}},{""text"":"" it's lit boyz""}",
Ugjwj8vGa0UZW3gCoAEC,UCbClSOItOom1IT8ZLKnZYEA,2016-09-20T19:50:22.425+00:00,0,,ZT2MdYR2aDw,"{""text"":""do you have everything still""}",
UggcVprDZR8ZR3gCoAEC,UCbClSOItOom1IT8ZLKnZYEA,2016-09-06T22:15:22.18+00:00,0,,DbGc9OFMRp4,"{""text"":""I sit back and read like cat in the hat""}",
UgicnnVRIkL0yXgCoAEC.8FCIeTd8Qjt8INlkTe5XR6,UCbClSOItOom1IT8ZLKnZYEA,2016-09-03T22:22:16.094001+00:00,0,UgicnnVRIkL0yXgCoAEC,SmwmZfMooSo,"{""text"":""also at the beginning you can see that the director of the music video is \""yoyoin productions.\"" Maybe his director is Trapanese? xD""}",UgicnnVRIkL0yXgCoAEC
UggND1LvrdyafXgCoAEC,UCbClSOItOom1IT8ZLKnZYEA,2016-09-01T04:51:10.545+00:00,0,,ona78uz3f_I,"{""text"":""Russel Westbrook at :27""}",
UggF-HZiMeec2XgCoAEC,UCbClSOItOom1IT8ZLKnZYEA,2016-08-30T06:06:10.581+00:00,0,,6_mWyjJQxWg,"{""text"":""This dude made a rhyme to orange you've got to be shitting me""}",
UgicnnVRIkL0yXgCoAEC.8FCIeTd8Qjt8IBfbk93Wbb,UCbClSOItOom1IT8ZLKnZYEA,2016-08-30T05:37:45.704637+00:00,0,UgicnnVRIkL0yXgCoAEC,SmwmZfMooSo,"{""text"":""I believe in one of his other songs he said he was raised by Chinese""}",UgicnnVRIkL0yXgCoAEC
Ugic-9T0A6dqlHgCoAEC,UCbClSOItOom1IT8ZLKnZYEA,2016-08-26T06:11:37.355+00:00,0,,DsVc3iTONhQ,"{""text"":""Plz do Kodak black""}",
Ughb4tZu2n8Ru3gCoAEC,UCbClSOItOom1IT8ZLKnZYEA,2016-08-15T18:52:09.658+00:00,0,,iNVgZGuaiN0,"{""text"":""lookin like a KKK activist wearin that all white and tatted up Matty""}",
Ugh5VuJNXKKeVXgCoAEC,UCbClSOItOom1IT8ZLKnZYEA,2016-08-14T08:55:34.831+00:00,0,,XUZSm_m15kg,"{""text"":""His voice sounds like a mixture of akon and chance""}",
UggSjWLsE96Ni3gCoAEC,UCbClSOItOom1IT8ZLKnZYEA,2016-08-10T16:41:34.142+00:00,0,,8XPurkbVk20,"{""text"":""pause at ""},{""text"":""2:30"",""videoLink"":{""externalVideoId"":""8XPurkbVk20"",""startTimeSeconds"":150}},{""text"":""! look at how much he enjoys this""}",
UgibYj9Xfak4rngCoAEC,UCbClSOItOom1IT8ZLKnZYEA,2016-08-07T20:03:21.272+00:00,0,,qxItWyvsRKw,"{""text"":""If you guys have time I think next time you guys should try brining the meat before throwing it into the pit""}",
UgixC8gVnpHyingCoAEC.8GmcAAPbN1Y8HDAQDVDjGW,UCbClSOItOom1IT8ZLKnZYEA,2016-08-05T23:03:31.094834+00:00,0,UgixC8gVnpHyingCoAEC,y-Uj2Bvgic8,"{""text"":""lol REKT!""}",UgixC8gVnpHyingCoAEC
Ugi9uujcVYn01ngCoAEC,UCbClSOItOom1IT8ZLKnZYEA,2016-08-03T05:26:05.793+00:00,0,,FtZhpvFFZTw,"{""text"":""is this a re-upload? i feel like i've seen some of these clips before""}",
